file,average_center_location_error,area_under_curve,average_distance_precision_rate_at_20_pixel_threshold
car86.txt,1.5914925848551578,0.817719298245614,1.0
car47.txt,2.0669530322455127,0.9121126760563381,0.9859154929577465
rider14.txt,2.8768948862918817,0.6954022988505747,1.0
car75.txt,1.6617778352617865,0.7832727272727272,1.0
car56.txt,1.3585195276351454,0.8401538461538461,1.0
car42.txt,1.2755344285416121,0.8455172413793105,1.0
car67.txt,9.111510869722471,0.711094890510949,0.9343065693430657
car57.txt,1.2479041744241322,0.8135483870967742,1.0
car46.txt,1.1906253041784123,0.8360000000000001,1.0
car48.txt,1.6654412543870412,0.7727536231884058,1.0
car69.txt,1.8680891611037598,0.8518072289156626,1.0
car55.txt,1.4126476359588978,0.8336,1.0
car43.txt,1.580056850558232,0.8048275862068965,1.0
rider10.txt,81.56195363199701,0.1767619047619048,0.4
rider9.txt,42.37822411102436,0.40765550239234444,0.645933014354067
car74.txt,1.5383799610296625,0.7624074074074074,1.0
car58.txt,1.6389118033996573,0.7854014598540147,1.0
car68.txt,2.8017322564672713,0.8078461538461539,1.0
rider15.txt,65.83127500664972,0.24584415584415584,0.42857142857142855
car72.txt,6.092506480566688,0.6018421052631578,0.8947368421052632
car71.txt,1.49377238440098,0.8928682170542634,1.0
basketball2.txt,11.932082823579247,0.5211471321695762,0.92643391521197
car73.txt,2.821543213055476,0.8717037037037036,1.0
car45.txt,2.1674150792406484,0.7940186915887851,1.0
car70.txt,1.6427559264775937,0.826822429906542,1.0
pedestrian6.txt,2.507694695784292,0.6821786492374727,0.9934640522875817
car44.txt,1.506891500257376,0.8247692307692307,1.0
car65.txt,2.341534858652524,0.8827941176470588,1.0
car66.txt,1.86404109329399,0.8674157303370786,1.0
car54.txt,1.3537026187947856,0.8501052631578948,1.0
